project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,0,2,1.0,false,66,1,9.712430859914466E-4,0,PACKAGE,.,.,org.apache.kafka.jmh.timeline,timeline,26242,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.4375,false,PACKAGE,38,8,0.06299212598425197,false,440,16,0.033205051790074366,0,PACKAGE,/home/ubuntu/kafka/clients/src/main/java/org/apache/kafka/common/security/auth/package-info.java,clients/src/main/java/org/apache/kafka/common/security/auth/package-info.java,org.apache.kafka.common.security.auth,auth,59011,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,0,9,1.0,false,199,1,9.712430859914466E-4,0,PACKAGE,.,.,org.apache.kafka.jmh.metadata,metadata,26274,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,0,6,1.0,false,490,3,9.712430859914466E-4,0,PACKAGE,.,.,org.apache.kafka.log4jappender,log4jappender,50860,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.03571428571428571,false,PACKAGE,0,12,1.0,false,2762,28,9.712430859914466E-4,0,PACKAGE,.,.,org.apache.kafka.shell,shell,59200,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,1,5,0.9230769230769231,false,182,3,0.0010421242231826112,0,PACKAGE,.,.,org.apache.kafka.connect.runtime.health,health,59588,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.15517241379310345,false,PACKAGE,7,19,0.8787878787878788,false,20023,59,0.003356287029939415,0,PACKAGE,.,.,org.apache.kafka.clients.consumer.internals,internals,2245,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,1.0,false,PACKAGE,28,0,0.0,false,17,3,0.01087630398459509,0,PACKAGE,/home/ubuntu/kafka/clients/src/main/java/org/apache/kafka/common/header/package-info.java,clients/src/main/java/org/apache/kafka/common/header/package-info.java,org.apache.kafka.common.header,header,2253,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,20,3,0.05154639175257732,false,360,3,0.006039701145583378,0,PACKAGE,.,.,org.apache.kafka.common.header.internals,internals,2270,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,7,2,0.16,false,95,3,0.0013440821072175865,0,PACKAGE,.,.,org.apache.kafka.connect.runtime.rest.errors,errors,2278,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,0,1,1.0,false,0,1,9.712430859914466E-4,0,PACKAGE,.,.,org.apache.kafka.connect.rest.basic,basic,59626,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,0,0,1.0,false,0,2,9.712430859914466E-4,0,PACKAGE,.,.,org,org,59636,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.1,false,PACKAGE,2,12,0.9111111111111111,false,6171,40,0.0013313320480114374,0,PACKAGE,.,.,org.apache.kafka.clients.admin.internals,internals,35081,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,2,7,0.4838709677419355,false,3322,11,0.0012261272637302514,0,PACKAGE,.,.,org.apache.kafka.streams.state.internals.metrics,metrics,26898,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,0,6,1.0,false,1599,6,9.712430859914466E-4,0,PACKAGE,.,.,org.apache.kafka.common.message,message,51488,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,2,5,0.6363636363636364,false,342,4,0.0010840554683433342,0,PACKAGE,.,.,org.apache.kafka.metadata.bootstrap,bootstrap,2346,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,0,5,1.0,false,92,1,9.712430859914466E-4,0,PACKAGE,.,.,org.apache.kafka.jmh.fetchsession,fetchsession,35132,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,16,2,0.08928571428571429,false,753,12,0.007557136188607035,0,PACKAGE,/home/ubuntu/kafka/clients/src/main/java/org/apache/kafka/common/acl/package-info.java,clients/src/main/java/org/apache/kafka/common/acl/package-info.java,org.apache.kafka.common.acl,acl,35156,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,0,2,1.0,false,0,8,9.712430859914466E-4,0,PACKAGE,.,.,org.apache.kafka.trogdor,trogdor,51569,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,1,9,0.9285714285714286,false,2087,7,0.0011228369891808953,0,PACKAGE,.,.,org.apache.kafka.trogdor.coordinator,coordinator,51575,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.09375,false,PACKAGE,4,5,0.2608695652173913,false,1055,32,0.0014045938904593668,0,PACKAGE,.,.,org.apache.kafka.trogdor.rest,rest,51582,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.1875,false,PACKAGE,7,15,0.5321100917431193,false,1374,16,0.002675197550502061,0,PACKAGE,.,.,org.apache.kafka.trogdor.common,common,51589,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.16666666666666666,false,PACKAGE,1,6,0.7222222222222222,false,266,6,0.0010428440662048424,0,PACKAGE,.,.,org.apache.kafka.server.log.remote.metadata.storage.serialization,serialization,2439,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.4,false,PACKAGE,4,20,0.8333333333333334,false,705,7,0.002066129455236278,0,PACKAGE,.,.,kafka.test,test,43399,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.10204081632653061,false,PACKAGE,1,16,0.9811320754716981,false,4877,49,0.0011228369891808953,0,PACKAGE,.,.,org.apache.kafka.trogdor.workload,workload,51596,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,0,6,1.0,false,342,2,9.712430859914466E-4,0,PACKAGE,.,.,org.apache.kafka.jmh.server,server,27050,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.16666666666666666,false,PACKAGE,5,7,0.43478260869565216,false,271,6,0.0012537785203979835,0,PACKAGE,/home/ubuntu/kafka/connect/api/src/main/java/org/apache/kafka/connect/transforms/predicates/package-info.java,connect/api/src/main/java/org/apache/kafka/connect/transforms/predicates/package-info.java,org.apache.kafka.connect.transforms.predicates,predicates,35265,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.6666666666666666,false,PACKAGE,0,2,1.0,false,273,6,9.712430859914466E-4,0,PACKAGE,/home/ubuntu/kafka/clients/src/main/java/org/apache/kafka/common/replica/package-info.java,clients/src/main/java/org/apache/kafka/common/replica/package-info.java,org.apache.kafka.common.replica,replica,27111,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.7142857142857143,false,PACKAGE,3,4,0.5555555555555556,false,130,7,0.0012225455404789034,0,PACKAGE,.,.,kafka.test.annotation,annotation,43500,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,3,10,0.875,false,664,5,0.0013662084301228447,0,PACKAGE,.,.,kafka.test.junit,junit,43507,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,0,8,1.0,false,137,2,9.712430859914466E-4,0,PACKAGE,.,.,org.apache.kafka.streams.test.wordcount,wordcount,2606,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.03333333333333333,false,PACKAGE,11,17,0.34615384615384615,false,2104,35,0.0023723261962960173,0,PACKAGE,.,.,org.apache.kafka.metadata,metadata,27193,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.12,false,PACKAGE,10,26,0.7919463087248322,false,10122,25,0.001613533319571886,0,PACKAGE,.,.,org.apache.kafka.connect.runtime.distributed,distributed,35416,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.21428571428571427,false,PACKAGE,12,17,0.6171875,false,13801,58,0.0021903889381017423,0,PACKAGE,.,.,org.apache.kafka.raft,raft,2773,container
