,File,Frequency,lines_modified
1875,TopologyTestDriverTest.java,47,3357
1879,KTableKTableInnerJoinTest.java,24,1427
1885,Values.java,14,1432
1893,ValuesTest.java,12,1093
1905,KStreamGlobalKTableJoinTest.java,15,473
1906,KStreamGlobalKTableLeftJoinTest.java,15,501
1907,FetchSessionHandler.java,16,1010
1912,FetchSessionHandlerTest.java,9,1551
1917,PluginsTest.java,11,736
1922,StreamsPartitionAssignor.java,99,5683
1923,StreamsPartitionAssignorTest.java,73,6839
1948,WorkerUtilsTest.java,9,412
1950,InternalMockProcessorContext.java,47,707
1951,MockProcessorContextTest.java,18,550
1960,StreamsUpgradeTest.java,107,3163
1964,ConsumeBenchWorker.java,11,778
1996,KStreamWindowReduceTest.java,10,332
2001,KTableKTableJoinNode.java,14,574
2004,StatefulProcessorNode.java,16,641
2010,StreamStreamJoinNode.java,14,586
2017,GlobalThreadShutDownOrderTest.java,26,454
2018,AdminMetadataManager.java,9,342
2025,KTableTransformValuesTest.java,25,899
2089,JaasBasicAuthFilterTest.java,12,594
2093,DeadLetterQueueReporter.java,12,352
2099,RetryWithToleranceOperator.java,10,608
2102,ErrorHandlingTaskTest.java,25,1193
2103,ErrorReporterTest.java,10,505
2104,RetryWithToleranceOperatorTest.java,11,943
2140,GlobalKTableEOSIntegrationTest.java,22,1066
2143,GroupedTableOperationRepartitionNode.java,9,369
2144,OptimizableRepartitionNode.java,12,391
2146,TableSourceNode.java,16,379
2150,MeteredKeyValueStoreTest.java,24,716
2156,StreamsGraphTest.java,13,662
2159,Sensors.java,17,598
2161,ConnectionStressWorker.java,16,562
2194,KTableSuppressProcessor.java,11,434
2198,SuppressionIntegrationTest.java,19,1639
2200,SuppressScenarioTest.java,21,1423
2201,GraphGraceSearchUtilTest.java,11,384
2202,KTableSuppressProcessorTest.java,16,1332
2203,MockInternalProcessorContext.java,17,418
2212,RepartitionTopicNamingTest.java,15,1304
2215,InMemoryTimeOrderedKeyValueBuffer.java,31,1544
2221,SuppressionDurabilityIntegrationTest.java,12,510
2240,KTableSuppressProcessorMetricsTest.java,16,696
2246,ProcessorContextImplTest.java,26,1227
2251,FieldSpec.java,18,709
2252,FieldType.java,16,584
2254,MessageDataGenerator.java,42,5626
2255,MessageGenerator.java,20,597
2258,SchemaGenerator.java,15,438
2268,MessageTest.java,46,2162
2275,ErrorHandlingIntegrationTest.java,13,1002
2276,ExampleConnectIntegrationTest.java,12,432
2280,EmbeddedConnectCluster.java,24,1188
2284,GlobalProcessorContextImplTest.java,18,390
2307,RocksDBGenericOptionsToDbOptionsColumnFamilyOptionsAdapter.java,10,1969
2309,RocksDBTimestampedStore.java,17,695
2312,RocksDBGenericOptionsToDbOptionsColumnFamilyOptionsAdapterTest.java,12,606
2313,RocksDBTimestampedStoreTest.java,11,799
2323,InMemoryWindowStore.java,31,1537
2324,InMemoryWindowStoreTest.java,15,1362
2337,MeteredTimestampedKeyValueStoreTest.java,21,851
2358,ChangeLoggingTimestampedWindowBytesStoreTest.java,11,469
2362,MetricsIntegrationTest.java,35,2898
2364,ConnectWorkerIntegrationTest.java,11,674
2365,MonitorableSourceConnector.java,11,333
2370,AbstractRocksDBSegmentedBytesStore.java,25,890
2375,AbstractRocksDBSegmentedBytesStoreTest.java,26,1779
2392,TimeOrderedKeyValueBufferTest.java,12,1766
2403,InMemorySessionStore.java,25,842
2404,InMemorySessionStoreTest.java,10,1110
2419,ImplicitLinkedHashCollectionTest.java,9,792
2442,StoreUpgradeIntegrationTest.java,17,1538
2448,IncrementalCooperativeAssignor.java,14,1661
2450,RebalanceSourceConnectorsIntegrationTest.java,13,723
2453,IncrementalCooperativeAssignorTest.java,12,3893
2454,WorkerCoordinatorIncrementalTest.java,9,677
2486,ThreadMetrics.java,18,1056
